date,value
2022-04-15,0
2023-02-23,0
2023-04-18,0
2023-06-14,1.9395
2021-07-30,0
2021-09-27,0
2022-04-15,0
2022-07-14,0
2023-04-18,0
2021-07-30,0
2021-09-27,0
2022-04-15,0.004
2022-07-14,0
2022-08-11,0.1434
2023-06-14,0
2021-09-27,0
2022-04-15,0.0147
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-04-18,0
2023-07-25,0
2021-07-30,0
2021-09-27,0
2021-10-22,0
2021-10-22,0
2021-10-22,0.0634
2021-10-22,0
2021-12-01,0
2021-12-01,0
2022-04-15,0.0212
2022-06-15,0
2022-06-15,0
2022-07-14,0
2022-07-27,0.0595
2022-07-27,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-11-02,0
2022-11-17,0
2022-11-17,0
2022-11-17,0
2022-12-01,0.0261
2022-12-01,0.0575
2023-04-18,0
2023-06-07,0
2023-06-07,0
2023-06-07,0
2023-07-25,0
2021-09-27,0
2022-07-14,0
2022-08-11,0
2022-09-21,0
2021-09-27,0
2022-04-15,0.0122
2022-07-14,0
2022-08-11,0
2022-09-21,0
2022-11-02,0
2022-12-01,0
2023-02-23,0.0204
2023-02-23,0
2023-04-18,0.0857
2023-06-14,0.04
2023-07-25,0
2021-09-27,0.0216
2022-07-14,0
2022-08-11,0.0693
2022-09-21,0.6932
2023-04-18,0
2023-06-14,0
