date,value
2023-06-14,0.26
2021-09-27,0.074
2022-04-15,0.025
2022-07-14,0.075
2022-08-11,0.143
2022-09-21,0.067
2022-11-02,0.124
2022-12-01,0.32
2023-04-18,0.03
2023-07-25,0
2021-07-30,0.044
2021-09-27,0.041
2021-10-22,0.055
2021-10-22,0.045
2021-10-22,0.038
2021-10-22,0.043
2021-12-01,0.05
2021-12-01,0.047
2022-04-15,0.093
2022-06-15,0.043
2022-06-15,0.047
2022-07-14,0.083
2022-07-27,0.024
2022-07-27,0.032
2022-08-11,0.02
2022-09-21,0.056
2022-11-02,0.178
2022-11-02,0.478
2022-11-17,0.117
2022-11-17,0.094
2022-11-17,0.1
2022-12-01,0.2
2022-12-01,0.08
2023-04-18,0.14
2023-06-07,0.07
2023-06-07,0.08
2023-06-07,0.08
2023-07-25,0
2021-09-27,0.185
2022-07-14,0.955
2022-08-11,0.135
2022-09-21,1
2021-09-27,0.051
2022-04-15,0.071
2022-07-14,1.655
2022-08-11,0.198
2022-09-21,0.134
2022-11-02,0.343
2022-12-01,0.51
2023-02-23,0.38
2023-02-23,0.32
2023-04-18,0.05
2023-06-14,0.19
2023-07-25,0
2021-09-27,0.034
2022-07-14,0.165
2022-08-11,0.439
2022-09-21,0.062
2023-04-18,0.04
2023-06-14,0.05
